Timestamp	Please list the courses (Level 8) on your CAO Application.	[RECOMMENDATION SET 1] Please take some time to look at your college course Recommendations.	[RECOMMENDATION SET 2] Please take some time to look at your college course Recommendations.	[RECOMMENDATION SET 1] How much would you agree with the following statement?  The courses recommended from set 1 offered a diverse variety of choices (e.g. different fields of study, colleges, etc.)	[RECOMMENDATION SET 2] How much would you agree with the following statement?  The courses recommended from set 2 offered a diverse variety of choices (e.g. different fields of study, colleges, etc.)	[RECOMMENDATION SET 1] How much would you agree with the following statement?  I trust that the system recommended courses from set 1 that are well-suited to my interests and preferences.	[RECOMMENDATION SET 2] How much would you agree with the following statement?  I trust that the system recommended courses from set 2 that are well-suited to my interests and preferences.	Any feedback?
06/02/2026 14:54:11	1.  TR033 Computer Science 2.  DN201 Computer Science (Common Entry) 3.  DC197 Biomedical Engineering 4.  TR039 Computer Science, Linguistics and a Language 5.  DC121 Computer Science 6.  TU856 Computer Science 7.  TR032 Engineering 8.  DN150 Engineering (Common Entry) 9.  TU804 Engineering (Common Entry with Award options) 10.	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	Recommendation 1 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	2	5	4	3	Could do a wider range of questions on the sciences, specifically on the bio and chem side
06/02/2026 17:42:08	1.  TR056 Human Health and Disease 2.  TR063 Physical Sciences 3.  TR060 Biological and Biomedical Sciences 4.  TR061 Chemical Sciences 5.  TR033 Computer Science 6.  LM115 Chemical and Biochemical Engineering 7.  LM118 Electronic and Computer Engineering	Recommendation 0 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course	Recommendation 5 - I would realistically consider studying this college course	4	1	4	1	
09/02/2026 16:07:32	1.  DC200 Common Entry into Engineering (Undenominated Entry) 2.  DC195 Mechanical and Manufacturing Engineering 3.  DC190 Electronic and Computer Engineering 4.  DC194 Mechanical and Sustainability Engineering 5.  TU805 Engineering (General Entry) [Bolton St AND Grangegorman] 6.  TU811 Product Design [Aungier Street AND Bolton St AND Grangegorman]	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	3	4	4	4	
09/02/2026 16:58:42	1.  DN670 Economics and Finance 2.  DN650 Commerce 3.  DN660 Commerce International (options) 4.  DC115 Accounting and Finance 5.  TR086 Business Studies and German 6.  DC110 Business Studies International 7.  DN700 Social Sciences (options) 8.  DC202 Sport Science and Health 9.  TU902 Business (options) 10.  DN240 Sustainability	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course	Recommendation 11 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course	4	2	4	2	n/a
10/02/2026 11:41:17	1.  DC111 Business Studies 2.  DC113 Global Business (Germany) 3.  DC110 Business Studies International 4.  TU904 Business and Law [City Centre - Aungier St AND Grangegorman] 5.  TU905 Economics and Finance [City Centre - Aungier Street] 6.  TU903 Business and Management [City Centre - Aungier Street] 7.  DC232 Law and Society (BCL) 8.  DC202 Sport Science and Health 9.  DN660 Commerce International (options) 10.DN650 Commerce	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course	Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	4	3	5	2	
11/02/2026 17:01:54	1. TR034 Management Science and Information Systems Studies 2. TR038 Engineering with Management 3. TR032 Engineering 4. TR033 Computer Science 5. TR188 Business Studies/Computer Science 6. TR039 Computer Science, Linguistics and a Language 7. TR031 Mathematics	Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course	Recommendation 2 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course	3	3	3	4	
11/02/2026 17:43:20	1.  MH403 Accounting and Finance 2.  MH401 Finance 3.  MH407 Business and Accounting 4.  TU933 Accounting and Finance (campus options) [Blanchardstown or Tallaght] 5.  TU910 Accounting [City Centre - Aungier Street] 6.  MH404 Business (options) 7.  DN520 Joint Honours (options) 8.  MH101 Arts 9.  TU922 Marketing [City Centre - Aungier Street] 10.  MH502 BCL Law (Law and another subject - options)	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course	3	5	4	5	
11/02/2026 18:53:08	1.  TR188 Computer Science/Business Studies 2.  TR033 Computer Science 3.  DN201 Computer Science (Common Entry) 4.  TR039 Computer Science, Linguistics and a Language 5.  TU856 Computer Science 6.  DC121 Computer Science 7.  DC120 Computing for Business	Recommendation 0 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	Recommendation 1 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course	3	5	5	2	
11/02/2026 19:41:37	1.  TR033 Computer Science  2.  DC121 Computer Science  3.  TU856 Computer Science  4.  TU857 Computer Science (Infrastructure)  5.  DN201 Computer Science (Common Entry)  6.  MH602 Computer Science through Science (options)  7.  TR039 Computer Science, Linguistics and a Language  8.  DK821 Computing in Software Development	Recommendation 0 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course	5	5	5	1	
11/02/2026 20:00:31	1. TR052 Dental Science  2. TR033 Computer Science  3. TR207 Economics/Mathematics  4. DN230 Actuarial and Financial Studies  5. TR032 Engineering   6. DC123 Data Science	Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	5	5	4	4	brendans the best :D
11/02/2026 22:34:21	1.  RC001 Medicine - Undergraduate Entry (HPAT required) 2.  TR051 Medicine (HPAT required) 3.  DN400 Medicine - Undergraduate Entry (HPAT required) 4.  GY501 Medicine (five year/six year course, HPAT required) 5.  CK701 Medicine (Undergraduate Entry - HPAT required) 6.  DN300 Veterinary Medicine - Undergraduate Entry 7.  TR052 Dental Science 8.  CK702 Dentistry 9.  TR072 Pharmacy 10.  RC005 Pharmacy	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	3	4	4	3	.
12/02/2026 13:40:35	1.⁠ ⁠TR089 Business Studies and Polish 2.⁠ ⁠DN700 TSC Economics (Social Sciences Two Subject Combination) 3.⁠ ⁠TU905 Economics and Finance 4.⁠ ⁠MH404 BMA Business and Management 5.⁠ ⁠DN541 Modern Languages 6.⁠ ⁠TU910 Accounting 7.⁠ ⁠TU965 International Business and Languages 8.⁠ ⁠MH101 Economics - Arts 	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	Recommendation 3 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 19 - I would realistically consider studying this college course	5	5	4	4	N/A
12/02/2026 16:38:00	1.  MH101 Arts 2.  TU997 Applied Social Care [Tallaght] 3.  MH107 Social Science 4.  TU991 Applied Social Studies in Social Care [Blanchardstown] 5.  TU985 Journalism [City Centre - Grangegorman] 6.  DC012 Post Primary Teacher Education - Religious Education and Music 7.  DC011 Post Primary Teacher Education - Religious Education and History 8.  TR084 Social Studies (Social Work) 9.  TR097 Intellectual Disability Nursing 10.  TU996 Social Care [City Centre - Grangegorman	Recommendation 1 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course	Recommendation 1 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course	4	3	4	2	
12/02/2026 17:37:09	1.  DL836 Creative Computing 2.  DL822 Arts Management 3.  TU978 Creative Industries and Visual Culture 4.  AD215 Visual Culture 5.  DL840 Digital Marketing 6.  DL837 New Media Studies 7.  MH109 Media Studies 8.  TU981 Creative Digital Media 9. 10.	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course	Recommendation 4 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course	4	3	4	3	no, thank you
13/02/2026 11:57:15	1.  TR083 Sociology and Social Policy 2.  TR662 Philosophy/Sociology 3.  TR272 English Literature/Sociology 4.  MH107 Social Science 5.  TU996 Social Care 6.  TU991 Applied Social Studies in Social Care 7.  TU997 Applied Social Care 8.  TU992 Community and Youth Development 9.  DN750 Social Policy and Sociology	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 10 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course	Recommendation 0 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course	5	4	4	1	
13/02/2026 17:15:22	1. DN670 Economics and finance  2. TR197 Computer science / economics 3. DN710 Economics 4. DN600 LES Law with economics  5. DC115 Accounting and finance  6. DN200 Science - Mathematics	Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course, Recommendation 12 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 14 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course, Recommendation 17 - I would realistically consider studying this college course, Recommendation 18 - I would realistically consider studying this college course	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 11 - I would realistically consider studying this college course, Recommendation 13 - I would realistically consider studying this college course, Recommendation 16 - I would realistically consider studying this college course	5	4	2	2	
13/02/2026 17:15:24	1. DN610 business and law  2. TR081 Business, Economics and Social Studies (BESS) 3. DC111 Business Studies 4. DC232 BCL (Law and Society) 5. DC230 Economics, Politics and Law	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 9 - I would realistically consider studying this college course	Recommendation 5 - I would realistically consider studying this college course	4	2	2	2	
13/02/2026 19:35:04	1.  MH601 Computer Science through Arts (options) 2.  MH602 Computer Science through Science (options) 3.  TR033 Computer Science 4.  MH106 Psychology - 3 years 5.  MH204 Physics with Astrophysics	Recommendation 0 - I would realistically consider studying this college course, Recommendation 1 - I would realistically consider studying this college course, Recommendation 2 - I would realistically consider studying this college course, Recommendation 3 - I would realistically consider studying this college course, Recommendation 4 - I would realistically consider studying this college course, Recommendation 5 - I would realistically consider studying this college course, Recommendation 6 - I would realistically consider studying this college course, Recommendation 7 - I would realistically consider studying this college course, Recommendation 8 - I would realistically consider studying this college course, Recommendation 15 - I would realistically consider studying this college course		5	1	5	1	Amazing UI well done. BREXIT
