R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,education,major
1,1,1,1,1,1,1,1,4,5,2,4,4,5,4,1,1,3,3,4,4,4,4,4,4,3,3,4,4,4,4,2,1,2,2,1,1,1,1,2,1,3,1,1,1,1,1,1,2,Psychology
1,3,1,1,1,3,1,1,3,5,3,1,3,3,3,3,5,5,5,3,3,5,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,5,1,1,1,1,1,1,1,1,3,education
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,3,3,3,3,Finance
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,2,2,2,3,3,2,2,3,Finance
2,2,2,3,2,2,2,2,4,4,4,3,4,5,3,3,5,4,5,5,4,5,3,3,4,4,4,3,3,3,3,2,2,2,3,3,2,2,2,2,2,1,2,2,2,3,2,1,3,business
4,3,2,1,4,3,4,2,5,5,4,4,4,4,5,1,2,3,1,1,3,2,2,1,4,5,5,4,4,4,5,5,2,2,3,4,3,4,1,2,3,2,2,4,5,5,4,3,2,forensic
3,2,1,1,1,1,1,1,3,5,5,1,5,5,5,5,4,3,2,3,4,3,2,3,2,3,1,2,4,2,2,3,1,2,1,1,1,1,1,5,2,2,1,1,1,1,1,3,2,geographer
3,3,1,1,1,2,1,3,2,3,3,1,1,2,1,1,1,2,1,1,3,1,3,2,3,5,3,5,4,4,5,5,1,4,3,1,2,4,1,2,3,3,3,1,4,3,2,1,2,English
1,1,1,2,1,1,1,1,4,4,3,4,4,3,2,2,2,2,1,2,4,4,3,1,5,2,1,4,1,1,1,1,2,1,2,1,4,2,1,2,1,1,1,1,4,3,1,1,3,Business
5,5,5,5,3,3,3,2,4,1,2,3,5,2,3,2,5,5,5,5,5,5,3,5,5,5,3,5,3,5,2,4,2,1,5,5,5,3,3,2,5,3,5,5,5,5,5,5,3,Business Administration
4,3,4,4,1,4,4,2,4,5,5,4,5,5,4,3,1,4,2,3,2,4,5,3,3,4,5,4,5,2,2,2,2,2,4,1,4,3,4,1,2,2,2,2,4,2,3,2,4,Environmental management
5,4,3,5,4,4,5,3,3,3,3,2,1,3,2,3,2,3,3,2,4,4,5,3,5,5,3,4,5,2,4,5,5,3,4,5,3,4,3,4,3,3,3,3,1,5,3,4,2,Criminal Justice
2,2,2,1,1,2,1,2,4,5,5,5,5,2,4,2,1,1,1,2,2,4,1,1,3,2,1,4,2,2,3,1,1,1,1,1,1,1,2,1,1,3,1,1,3,1,2,1,3,Sociology
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Human Ressources
2,3,3,1,2,1,2,2,3,4,2,1,2,3,2,2,3,4,3,3,5,4,3,2,4,3,4,3,5,4,3,3,3,3,4,2,3,4,2,5,4,0,4,4,3,2,2,3,2,psychology
2,1,1,3,1,1,1,1,4,4,4,2,1,3,1,1,2,1,5,4,3,5,1,4,4,4,4,3,3,3,2,2,1,3,1,3,1,4,1,1,2,3,1,2,4,2,1,2,2,Communications
4,4,3,1,1,4,1,3,4,2,1,1,1,3,1,4,4,3,1,1,4,3,1,4,4,4,1,4,2,1,4,2,1,3,5,3,5,3,1,4,1,1,1,1,1,1,1,1,4,Geography
4,1,3,1,2,1,3,1,2,4,2,1,1,1,1,2,2,3,1,1,1,1,3,4,3,5,3,4,5,5,5,4,3,3,5,2,5,5,4,4,4,1,2,5,2,2,3,4,2,hotel mangement
5,5,3,4,5,5,5,3,5,5,4,3,4,4,3,3,4,4,3,5,4,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,Human Resource Management
4,1,2,1,1,2,3,2,4,4,2,2,3,4,3,2,3,2,2,3,3,4,3,2,2,5,5,1,4,4,4,4,2,5,2,4,4,4,3,3,2,3,1,2,3,3,2,1,4,Anthropology
5,4,3,4,1,5,3,3,4,5,5,5,5,5,3,4,5,5,4,5,5,5,4,4,3,3,1,5,4,5,4,2,1,2,3,4,1,3,5,5,1,1,1,1,4,3,1,1,3,economy
2,2,1,1,1,1,1,2,4,2,1,2,1,1,1,2,2,3,2,3,2,1,4,1,3,4,1,5,2,3,2,1,2,3,2,2,3,1,2,1,1,2,1,3,1,2,2,1,2,exercise science
5,4,2,4,1,3,4,2,4,4,3,2,1,2,3,3,3,4,3,2,2,4,2,3,5,5,2,4,3,4,4,4,3,4,5,4,3,4,3,4,4,4,4,4,5,4,2,3,4,Business
3,1,1,4,4,3,3,5,3,3,1,5,4,5,1,3,5,5,3,5,5,5,3,5,5,5,3,5,5,3,5,3,3,5,5,5,4,3,3,5,3,3,4,3,3,3,3,3,2,computer engineering
5,1,1,3,2,4,3,1,4,4,5,4,4,4,4,2,1,1,4,3,2,4,2,2,4,5,4,3,4,4,4,3,1,3,3,1,3,1,1,2,3,5,1,3,1,1,1,3,4,Medical Lab Technician
4,4,3,4,3,4,4,4,1,2,3,3,4,4,4,5,1,5,4,2,4,4,1,5,3,5,2,3,2,2,4,4,2,1,3,1,4,2,1,4,1,4,3,2,4,4,3,4,4,computer science
3,3,1,2,2,4,3,4,4,2,2,2,2,3,2,3,3,4,4,4,4,4,3,4,3,4,3,4,4,5,5,3,2,3,3,2,3,3,1,3,2,3,3,2,3,4,2,2,3,human development
1,2,1,1,1,2,1,2,4,5,2,2,1,1,1,2,5,5,5,5,5,5,4,5,5,4,4,4,4,1,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,3,History
3,4,3,3,3,5,4,5,3,4,4,1,3,4,4,5,1,1,1,1,1,3,4,3,3,3,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,4,technology
3,1,1,1,2,1,2,1,3,2,2,4,2,4,2,2,3,2,1,3,2,1,3,2,5,4,4,5,4,3,3,3,2,1,2,3,2,2,3,2,3,3,3,3,2,3,3,2,3,Nutrition 
3,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,4,4,5,3,4,3,3,5,2,2,2,2,3,3,3,3,2,2,4,4,3,2,2,5,2,3,3,3,2,1,2,4,2,english or drawing jewellery
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,1,5,1,1,5,1,5,5,5,5,5,3,5,5,5,5,1,5,5,5,3,3,1,1,1,1,1,1,3,software engineering
1,2,1,1,1,4,1,4,3,3,1,1,1,1,1,1,4,2,4,2,1,5,4,5,5,5,5,4,5,2,2,4,1,3,1,1,1,1,4,1,1,1,1,1,1,3,3,1,4,ART
1,1,1,3,1,3,1,1,1,1,1,1,1,4,1,1,4,5,5,5,3,2,1,5,4,5,2,1,4,5,4,3,2,1,3,1,4,5,2,5,1,1,4,4,1,1,1,1,2,No
4,4,4,3,3,3,3,3,4,5,3,3,3,4,3,3,5,4,3,3,4,5,4,3,5,4,3,3,4,5,5,3,5,4,4,3,4,4,3,4,5,5,4,4,4,3,4,3,3,Liberal Studies
1,3,1,2,1,3,1,3,3,2,2,1,1,1,1,1,2,1,3,3,4,2,2,4,5,5,5,5,5,5,4,4,3,2,4,4,4,4,4,4,2,3,3,2,1,3,2,1,4,history
2,2,1,1,3,1,1,2,4,4,3,3,3,4,1,2,2,4,4,4,4,4,4,4,3,5,4,4,5,5,5,3,1,2,3,4,2,3,3,4,1,1,1,2,1,2,2,2,2,Psychology
5,3,2,4,3,5,3,4,3,3,2,4,3,4,3,3,4,4,4,3,2,4,5,4,2,5,2,1,2,4,4,2,2,2,4,2,4,3,5,3,1,2,1,1,3,2,4,2,2,Accounting
3,3,1,2,1,2,3,3,1,5,5,1,2,5,2,3,3,5,5,4,4,4,3,5,5,5,5,4,5,5,5,4,2,5,3,4,4,5,4,4,3,5,5,5,4,4,4,5,2,Education
3,4,2,4,3,3,3,2,4,5,4,4,4,4,3,4,2,4,4,4,5,2,3,4,5,5,4,3,5,4,4,3,4,3,3,3,4,2,3,3,1,1,1,2,2,2,2,2,4,engineering
2,1,1,1,5,1,1,2,3,5,4,1,2,5,2,1,3,2,4,2,4,5,2,2,5,5,1,4,4,5,5,2,5,3,5,5,5,5,5,5,4,1,5,3,3,3,4,4,2,human resources
4,4,2,3,4,4,3,4,5,5,5,3,2,3,3,3,1,2,1,1,1,3,3,1,3,4,4,5,1,1,4,3,4,1,3,3,3,1,4,1,5,5,5,4,4,4,2,3,3,Psychology
3,1,1,2,1,1,2,1,4,4,4,2,4,4,4,2,3,1,1,1,1,3,1,1,4,4,1,1,1,1,3,2,1,1,4,1,3,1,1,1,3,4,2,3,1,4,4,3,4,science 
3,2,2,4,2,1,2,1,2,3,2,3,2,2,1,1,1,2,5,1,1,3,2,3,4,3,5,2,4,3,3,1,4,3,5,5,5,4,3,3,5,4,5,3,3,2,3,3,2,business multimedia 
5,1,1,1,1,1,1,1,5,3,3,3,3,3,3,1,1,3,1,1,1,1,3,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,1,5,3,1,3,1,1,1,1,2,biology
1,1,1,1,1,1,1,1,4,4,3,3,2,3,3,2,5,5,4,5,4,5,4,4,3,4,3,3,4,3,4,3,3,3,3,3,4,3,3,4,2,2,2,3,2,2,1,2,2,Music
4,1,1,1,1,1,2,1,2,3,1,1,1,3,2,1,1,1,1,2,1,3,4,1,2,3,2,4,1,2,2,1,2,3,1,1,4,2,2,1,1,2,1,1,2,2,2,1,2,Multi Media Management
3,3,4,5,3,4,5,4,2,1,1,3,1,1,1,4,1,1,2,1,1,2,1,1,4,5,4,4,4,5,4,4,3,3,4,2,4,3,3,4,2,2,3,3,4,4,2,3,2,psychology
3,2,2,1,1,1,1,1,4,5,5,5,5,5,4,5,4,5,4,5,5,5,1,5,4,4,4,2,4,3,5,3,2,3,3,2,4,3,4,3,2,2,2,1,2,3,2,2,3,Teaching
3,1,1,5,1,4,1,1,3,1,1,1,1,1,1,1,5,3,3,5,5,5,5,1,5,4,5,5,5,5,5,3,3,1,3,3,1,3,1,4,1,1,1,1,3,3,1,1,3,school counselor education
3,2,1,1,1,1,1,1,4,5,5,1,3,3,3,3,1,2,4,1,1,4,1,1,5,5,4,4,3,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Psychology
3,1,1,1,1,3,1,1,2,5,4,1,1,5,1,1,1,3,1,2,1,1,1,1,4,4,4,4,4,4,3,1,1,4,3,2,3,4,2,3,1,3,2,1,1,3,1,3,3,Applied Behavioral Science
5,3,1,5,2,3,2,1,5,5,5,5,5,5,4,5,5,4,4,5,3,5,1,3,5,4,4,5,4,4,5,3,1,1,1,1,2,1,1,3,1,2,1,1,5,3,1,2,4,electronic engineerin
1,4,3,2,3,4,1,2,4,5,5,3,4,5,2,5,2,4,3,2,4,3,3,3,4,4,5,2,4,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,4,English
3,3,2,3,2,4,2,3,5,5,5,5,5,5,5,4,5,5,4,4,4,5,3,3,4,4,2,4,3,5,4,1,2,2,4,2,4,4,1,4,3,2,4,3,4,3,1,3,4,Aeronautical Engineering
1,1,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,4,1,4,1,2,1,1,1,1,1,5,1,1,1,1,1,1,3,1,2,1,1,4,International Relations
4,4,3,3,3,4,2,4,3,4,3,3,4,4,4,3,4,3,3,3,2,4,3,4,2,4,4,4,4,4,2,3,2,3,3,2,3,2,4,4,2,3,2,2,2,3,2,2,3,Criminal Justice
1,1,1,1,1,1,1,1,4,4,3,3,4,3,3,1,2,1,1,2,1,1,1,1,4,4,3,2,3,1,1,1,1,1,2,1,4,1,1,1,1,2,1,3,3,3,2,2,3,Health Informatics
5,4,3,5,4,1,4,4,5,5,5,3,5,5,2,4,3,4,4,5,4,5,5,3,3,5,2,5,2,4,5,4,2,5,4,3,4,5,4,5,2,4,4,5,5,4,5,5,2,Business Management 
3,3,4,4,2,3,3,2,4,5,5,3,4,5,3,4,1,1,1,1,1,4,3,2,3,4,3,4,4,4,4,4,1,3,2,5,1,1,2,1,4,3,2,2,4,4,3,1,3,Biology
3,4,1,5,1,3,4,3,3,4,3,2,2,2,2,2,2,2,4,4,3,5,2,4,4,4,4,1,3,3,2,2,2,1,3,1,4,3,2,3,2,2,3,3,3,2,2,3,3,economics
3,2,1,1,1,1,1,1,4,5,5,4,5,5,4,4,1,4,2,3,5,4,1,2,5,3,3,1,4,1,3,2,1,2,3,3,2,4,1,4,3,4,3,5,4,1,3,4,4,Anthropology
5,1,5,5,5,3,1,5,3,5,5,1,1,5,1,5,1,1,5,3,1,1,5,1,3,1,3,5,3,1,3,1,1,5,1,5,1,5,1,1,1,5,1,1,1,1,1,1,2,auto mechanic
5,3,3,5,3,3,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,3,4,1,2,1,2,3,3,2,4,3,4,3,1,1,1,1,2,1,1,2,1,2,auto mechanic
5,1,1,1,1,1,1,1,5,3,4,5,1,5,4,4,4,1,2,1,1,2,1,1,4,5,4,4,5,4,5,4,5,4,2,1,5,4,1,4,3,3,4,4,3,1,2,1,2,nursing
1,1,3,3,1,3,1,1,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,1,1,1,3,1,5,3,1,1,3,1,1,1,1,1,1,2,psychology
1,2,1,2,1,2,2,2,2,3,3,2,2,2,2,1,4,3,3,4,3,5,5,3,4,5,4,4,4,5,4,4,1,1,3,3,2,2,1,2,1,1,1,1,1,1,1,1,2,Biblical and Theological Studies
1,1,1,1,1,1,1,1,5,1,1,2,3,1,2,1,1,1,3,1,1,1,1,1,3,3,3,5,3,4,1,1,1,1,3,1,4,3,3,1,3,1,1,5,4,3,1,1,2,Exercise Science
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,4,5,1,1,2,2,IT
5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,4,1,3,1,1,3,1,4,3,3,3,1,5,5,5,5,1,3,5,5,5,1,5,3,5,5,5,5,5,5,5,5,5,3,Economics
3,4,1,1,1,2,1,1,3,5,4,4,3,4,2,2,2,4,5,2,5,4,2,3,5,5,4,4,4,4,3,2,2,2,5,4,5,1,3,1,1,1,2,1,1,2,2,1,4,Civil engineering
3,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,3,3,4,2,1,3,1,3,3,5,3,1,2,5,5,2,3,1,5,3,5,3,4,3,4,5,5,5,4,3,3,5,2,Human Resource Management
3,1,1,2,1,1,3,1,4,2,4,2,1,1,4,4,1,1,4,3,3,3,4,1,3,2,3,2,3,1,5,2,4,3,4,1,3,4,3,2,4,3,2,3,3,1,3,3,2,civil engineering
1,2,2,2,1,2,2,2,4,4,4,4,4,2,4,3,2,2,3,3,4,3,3,2,4,3,4,5,4,4,4,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,psychology
2,1,1,4,1,1,1,2,5,3,4,2,3,2,3,1,1,1,2,1,4,1,2,1,4,4,5,5,4,2,2,2,4,4,4,1,4,4,4,2,2,2,2,2,2,2,2,3,3,Psychology
3,1,1,4,1,4,3,3,4,1,1,1,2,2,1,4,5,4,3,4,3,4,4,4,5,5,3,4,4,5,4,4,5,3,4,3,4,5,2,5,3,5,5,4,4,3,3,2,3,Management
1,3,1,2,1,2,1,2,5,5,4,5,5,4,5,4,3,3,4,5,4,5,4,4,4,4,4,4,4,5,5,4,2,3,2,5,3,2,3,3,2,2,2,2,2,2,2,1,3,psychology
2,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,2,1,2,3,2,3,2,3,3,3,5,4,3,4,2,3,1,3,2,3,2,3,3,3,3,4,3,4,3,3,3,3,Economics
1,4,4,4,1,4,2,5,5,5,4,5,3,5,3,4,1,1,3,2,1,2,4,1,4,3,4,1,3,2,3,4,1,3,1,1,4,1,3,2,1,3,3,1,1,3,3,1,3,Criminal Justice
4,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,2,1,1,2,2,4,2,4,2,1,3,4,2,2,1,2,3,3,4,2,2,4,3,1,2,1,4,2,2,2,1,2,Civil Engineering
3,3,1,1,3,3,3,3,4,4,4,2,4,4,3,4,3,5,4,2,3,3,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,5,3,4,3,4,3,3,3,3,3,Humanities
1,4,2,1,1,3,1,2,5,5,5,4,5,4,5,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,5,4,3,3,4,5,1,1,1,1,3,1,1,1,4,Psychology
1,1,1,1,1,1,1,1,5,3,2,4,4,1,4,1,1,1,1,1,1,1,1,1,5,3,4,4,5,4,4,3,1,1,1,1,1,1,4,1,1,1,1,1,3,3,1,1,2,Psychology
3,1,1,3,2,1,2,1,2,3,2,3,2,2,2,1,3,3,2,3,2,3,3,2,5,3,5,3,5,4,4,3,2,2,4,3,3,4,3,2,3,3,3,3,3,3,3,2,2,Psychology
1,1,1,1,1,1,1,1,5,4,3,4,3,2,2,1,1,1,1,1,1,1,4,1,3,1,4,5,2,2,1,3,2,3,2,2,3,3,4,1,1,3,1,1,2,1,2,1,3,Occupational Therapy
4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,4,1,2,4,1,5,2,5,4,4,3,1,3,1,4,3,1,4,5,3,2,2,4,2,3,1,2,3,3,4,criminal justice
4,2,2,2,2,2,2,2,4,4,4,3,2,4,2,2,4,4,2,2,2,2,2,2,5,5,5,2,5,4,4,3,4,4,4,2,4,4,3,4,5,2,4,5,2,4,4,4,3,Psychology
3,3,1,3,1,3,2,1,3,4,4,5,4,3,4,3,5,3,3,5,5,5,1,4,3,3,5,4,5,4,3,1,1,3,2,2,3,2,1,1,1,3,1,1,4,3,1,1,2,psychology
3,1,1,2,1,1,2,1,2,2,2,3,1,2,2,1,4,3,2,3,3,4,3,3,5,3,5,4,5,4,4,3,2,2,4,3,4,4,3,2,3,2,3,3,2,1,3,2,2,Psychology
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,2,1,2,5,5,1,1,5,5,5,5,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,3,history
2,3,1,1,1,1,1,3,3,1,1,3,1,1,1,1,3,4,1,1,4,1,2,4,1,1,1,4,1,3,1,1,4,1,4,1,5,1,5,1,1,1,1,1,1,1,1,1,2,Radiology
2,2,3,2,2,4,2,2,4,1,1,4,2,1,2,3,1,3,4,3,4,3,4,3,5,4,4,3,4,1,4,2,3,3,5,3,4,3,3,2,3,2,1,1,3,4,3,1,3,Psychology 
1,3,1,1,1,3,1,1,4,3,2,4,1,4,1,2,1,1,1,4,3,3,5,1,3,4,4,4,4,5,4,3,1,1,1,3,2,2,3,1,1,1,1,1,1,1,1,1,3,psychology
1,2,2,1,1,1,1,1,4,3,4,1,1,3,1,3,1,1,1,2,3,1,4,1,2,1,1,5,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,3,2,3,4,Political Science
1,1,1,2,1,1,1,2,3,4,3,3,1,3,1,1,3,3,3,2,2,3,3,1,3,4,3,3,4,4,3,4,3,5,3,4,3,3,4,2,4,3,3,4,4,4,3,3,2,Business management
1,1,1,1,2,2,1,2,3,4,2,4,3,2,2,4,5,5,3,4,5,4,2,4,5,5,5,4,5,5,5,3,3,1,4,3,4,3,3,3,3,1,2,3,1,2,3,1,4,Classics
4,2,2,3,1,2,1,2,4,3,3,3,3,3,3,1,2,1,2,3,3,1,1,1,3,1,3,2,4,1,1,1,1,1,3,1,3,1,2,1,3,2,2,2,3,1,2,2,2,Practical Nursing
3,1,1,2,1,1,1,1,3,4,3,3,3,5,3,4,1,1,1,5,4,5,5,1,1,1,5,5,5,3,1,1,1,3,2,2,1,1,1,5,1,2,3,2,1,1,4,2,2,Psychology
1,1,1,4,1,1,1,1,4,1,1,1,2,4,3,4,1,4,5,4,5,5,4,5,5,2,2,5,4,2,2,2,1,2,3,4,4,4,1,4,1,3,3,2,4,4,4,1,2,Psychology
2,1,2,2,1,2,2,2,4,4,2,4,2,3,2,3,3,4,5,5,4,5,5,4,5,5,3,5,4,4,4,4,2,2,4,3,4,3,4,3,2,2,2,3,1,2,2,2,2,Health development and family studies
1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,3,3,5,1,5,5,1,1,1,4,5,1,5,5,1,1,1,1,1,1,1,1,1,1,2,yes
5,2,1,4,2,3,2,1,5,5,5,5,5,4,5,1,3,3,4,3,1,5,4,4,4,4,4,5,5,5,4,4,3,2,3,4,4,3,4,3,2,1,3,3,3,3,2,1,3,Psychology
2,3,2,2,2,2,2,2,5,5,4,5,4,4,4,3,2,2,2,2,2,2,3,2,2,5,4,4,4,5,4,5,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,nursing
3,4,2,2,2,3,3,3,4,4,4,4,4,5,4,4,3,5,5,4,5,4,5,5,3,4,3,3,4,4,3,2,4,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,Psychology
3,2,5,1,1,1,1,1,3,3,2,1,1,1,1,1,3,5,5,4,5,3,1,5,3,5,3,3,3,3,2,3,3,1,5,1,5,5,4,3,4,3,3,4,1,4,5,3,3,Human Resource Management
3,2,1,2,1,2,1,2,5,5,4,3,3,4,3,4,5,3,5,5,5,5,1,4,5,5,5,3,5,4,3,3,5,3,4,1,4,1,3,3,3,2,2,1,2,1,3,2,3,psychology
3,2,3,3,2,3,1,2,4,5,4,4,3,4,3,4,5,4,4,5,5,5,4,4,1,3,1,4,1,4,5,3,1,2,1,3,1,2,1,3,2,1,1,2,2,3,1,2,3,Industrial Design
3,3,1,2,2,1,2,2,5,3,2,4,4,2,4,2,1,3,3,4,3,5,3,4,4,4,2,5,5,5,5,1,1,1,2,3,3,2,2,3,3,1,2,3,2,3,2,3,3,Public Health
1,1,2,1,1,1,1,1,1,2,1,1,1,4,1,2,1,2,3,1,1,1,5,3,3,5,3,5,4,4,4,3,5,3,5,2,5,4,4,4,3,2,3,2,2,3,4,3,2,Business Management 
3,1,1,2,1,2,2,1,5,4,4,5,4,3,4,4,2,2,4,1,2,2,4,2,4,5,3,5,4,3,4,4,2,2,2,3,3,3,3,1,2,3,2,3,3,4,2,1,2,Exercise Science
4,4,1,3,1,4,2,2,4,3,3,3,4,3,4,1,3,3,3,2,3,3,4,3,5,4,5,4,5,5,4,2,1,2,2,3,2,2,1,2,1,2,1,1,1,3,1,1,2,nursing
4,3,5,3,2,3,2,3,4,4,5,3,3,4,3,3,3,1,4,2,1,3,4,2,2,5,3,2,2,2,3,3,3,2,3,2,2,2,2,2,3,3,3,2,4,3,2,2,3,civil engineering
4,1,3,1,1,1,1,1,5,2,2,4,1,3,1,1,1,1,4,1,1,4,4,1,4,1,2,4,3,2,3,1,1,1,4,1,2,3,1,3,3,3,2,1,1,4,3,1,3,Psychology
2,3,1,4,1,3,1,1,4,5,4,4,1,1,1,1,4,5,5,5,5,5,3,3,5,5,3,5,5,5,5,4,1,2,2,3,4,1,4,3,1,1,2,3,1,1,1,1,4,English
4,2,1,1,1,1,1,2,2,3,2,4,2,2,1,2,1,1,1,1,2,1,1,1,4,5,5,3,5,4,3,3,4,3,3,1,2,2,2,3,5,2,3,4,1,2,2,3,3,Psychology
1,1,1,1,1,1,1,1,3,5,2,2,1,5,1,1,1,4,4,1,1,1,4,2,5,3,5,4,5,1,2,3,1,1,1,4,2,1,3,3,1,1,1,1,3,1,3,1,2,psychology 
2,4,2,2,4,2,2,2,4,3,4,2,3,4,4,3,2,4,1,2,3,3,2,3,2,0,4,4,2,3,4,4,2,1,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,Undeclared
3,4,1,5,3,2,2,3,5,2,1,5,3,2,3,3,4,2,4,2,3,4,3,4,5,4,4,3,4,4,4,4,1,1,2,3,5,5,5,4,4,1,5,5,4,2,5,5,3,Human Services 
4,1,4,2,2,2,2,2,4,4,5,4,4,5,4,5,4,5,5,5,5,4,2,4,4,4,5,4,5,5,5,4,2,2,4,2,4,2,2,2,4,4,4,4,4,3,4,4,2,Psychology
2,1,1,1,1,1,2,1,4,5,4,4,4,5,3,4,1,4,5,1,2,1,1,4,5,4,5,1,5,5,5,4,4,4,3,1,4,4,1,2,2,3,1,3,1,3,1,1,3,psychology
2,3,1,3,3,3,3,4,2,3,3,3,3,2,2,2,4,5,2,4,4,4,2,3,3,4,3,4,3,3,3,3,3,3,4,2,4,3,3,4,3,4,4,4,4,4,4,5,2,Musical Theatre
3,2,2,2,2,2,3,2,3,5,4,4,3,3,2,2,3,3,4,4,3,3,4,3,5,4,4,5,5,5,4,4,4,4,3,4,3,4,4,4,3,3,2,3,2,3,3,2,3,Social Work and Psych
1,1,1,1,1,1,1,1,2,3,3,1,1,3,1,1,5,5,5,4,5,5,3,5,4,5,3,3,3,5,4,3,2,3,3,4,3,2,1,3,3,3,2,3,1,1,1,1,2,Professional Technical Writing
3,1,2,4,3,2,3,1,1,2,1,2,1,1,1,2,1,2,1,2,3,2,2,1,2,4,2,1,2,1,2,2,1,3,3,2,3,3,2,3,4,3,4,3,4,3,3,3,3,Accounting
4,2,1,4,1,3,1,1,3,4,4,3,1,4,1,5,1,4,5,4,5,5,4,3,4,5,5,4,5,3,4,4,1,1,2,4,4,3,1,2,1,1,1,4,1,1,1,1,3,Human Resource Management
3,1,1,1,2,1,2,2,5,5,4,4,4,4,4,4,2,2,3,3,2,4,5,2,4,5,4,4,5,3,4,4,3,4,3,2,4,3,2,4,3,4,1,4,3,3,4,3,3,Diversity Studies
2,2,1,1,1,2,1,1,5,3,2,3,4,1,3,1,1,1,1,1,1,1,2,1,1,2,1,5,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Exersice Science
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Law
4,1,1,2,2,2,1,1,5,5,5,4,5,5,5,5,2,5,4,4,5,4,5,5,4,4,5,5,5,5,5,4,1,3,4,4,5,4,3,4,4,4,3,5,4,5,4,3,4,theater
4,4,4,2,2,3,3,4,4,3,2,4,3,4,3,4,4,3,4,3,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,4,4,2,4,4,3,4,4,4,3,2,2,4,2,psychology
4,4,3,5,1,4,3,3,5,5,5,4,5,5,4,5,3,3,4,4,5,5,5,5,2,4,5,4,4,1,1,3,1,2,3,3,3,1,3,1,1,4,1,1,1,4,2,3,3,Psychology
5,1,2,2,1,2,3,1,4,4,4,5,5,4,5,2,3,3,2,3,3,3,3,2,4,3,3,4,3,4,4,5,2,1,3,2,3,2,1,1,2,2,2,3,4,4,2,2,2,Life science
2,4,4,4,2,2,2,4,4,4,1,2,2,1,1,2,4,2,2,1,1,4,5,4,4,1,2,4,4,4,2,5,3,1,4,4,4,1,4,4,4,2,4,4,4,4,4,2,3,business
5,4,4,3,4,5,3,3,3,5,5,4,3,5,4,5,4,3,4,5,1,5,2,4,2,4,4,2,2,1,3,2,1,1,2,4,2,4,1,4,3,4,3,4,4,5,2,3,3,Mechanical Engineering
